2026-07-24 03:38:01 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:03 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:06 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:08 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:11 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:13 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:16 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:18 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:21 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:23 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:26 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:28 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:31 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:33 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:36 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:38 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:41 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:43 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:46 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:48 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
2026-07-24 03:38:51 | DEBUG    | app.services.pdf_service:237 | [452a5255-397b-4067-89f3-e45128b82249] Loaded document from DB — status=embedding
2026-07-24 03:38:53 | DEBUG    | app.services.pdf_service:237 | [07fa852e-64c6-46c4-bf6a-1bd0b91849cf] Loaded document from DB — status=embedding
